time[s],q_0[mm],q_2[mm]
11.4000000000,-1.0877280000,0.0000000000
11.4100000000,-1.1022900000,0.0000000000
11.4200000000,-1.1169260000,0.0000000000
11.4300000000,-1.1316370000,0.0000000000
11.4400000000,-1.1464210000,0.0000000000
11.4500000000,-1.1612790000,0.0000000000
11.4600000000,-1.1762090000,0.0000000000
11.4700000000,-1.1912110000,0.0000000000
11.4800000000,-1.2062850000,0.0000000000
11.4900000000,-1.2214300000,0.0000000000
11.5000000000,-1.2366440000,0.0000000000
11.5100000000,-1.2519290000,0.0000000000
11.5200000000,-1.2672820000,0.0000000000
11.5300000000,-1.2827040000,0.0000000000
11.5400000000,-1.2981930000,0.0000000000
11.5500000000,-1.3137500000,0.0000000000
11.5600000000,-1.3293730000,0.0000000000
11.5700000000,-1.3450620000,0.0000000000
11.5800000000,-1.3608170000,0.0000000000
11.5900000000,-1.3766360000,0.0000000000
11.6000000000,-1.3925200000,0.0000000000
11.6100000000,-1.4084660000,0.0000000000
11.6200000000,-1.4244760000,0.0000000000
11.6300000000,-1.4405480000,0.0000000000
11.6400000000,-1.4566810000,0.0000000000
11.6500000000,-1.4728760000,0.0000000000
11.6600000000,-1.4891300000,0.0000000000
11.6700000000,-1.5054450000,0.0000000000
11.6800000000,-1.5218180000,0.0000000000
11.6900000000,-1.5382500000,0.0000000000
11.7000000000,-1.5547390000,0.0000000000
11.7100000000,-1.5712850000,0.0000000000
11.7200000000,-1.5878880000,0.0000000000
11.7300000000,-1.6045470000,0.0000000000
11.7400000000,-1.6212600000,0.0000000000
11.7500000000,-1.6380290000,0.0000000000
11.7600000000,-1.6548500000,0.0000000000
11.7700000000,-1.6717250000,0.0000000000
11.7800000000,-1.6886530000,0.0000000000
11.7900000000,-1.7056320000,0.0000000000
11.8000000000,-1.7226620000,0.0000000000
11.8100000000,-1.7397430000,0.0000000000
11.8200000000,-1.7568730000,0.0000000000
11.8300000000,-1.7740530000,0.0000000000
11.8400000000,-1.7912810000,0.0000000000
11.8500000000,-1.8085560000,0.0000000000
11.8600000000,-1.8258790000,0.0000000000
11.8700000000,-1.8432480000,0.0000000000
11.8800000000,-1.8606630000,0.0000000000
11.8900000000,-1.8781220000,0.0000000000
11.9000000000,-1.8956260000,0.0000000000
11.9100000000,-1.9131740000,0.0000000000
11.9200000000,-1.9307640000,0.0000000000
11.9300000000,-1.9483970000,0.0000000000
11.9400000000,-1.9660710000,0.0000000000
11.9500000000,-1.9837860000,0.0000000000
11.9600000000,-2.0015410000,0.0000000000
11.9700000000,-2.0193360000,0.0000000000
11.9800000000,-2.0371690000,0.0000000000
11.9900000000,-2.0550400000,0.0000000000
12.0000000000,-2.0729490000,0.0000000000
12.0100000000,-2.0908940000,0.0000000000
12.0200000000,-2.1088750000,0.0000000000
12.0300000000,-2.1268910000,0.0000000000
12.0400000000,-2.1449420000,0.0000000000
12.0500000000,-2.1630270000,0.0000000000
12.0600000000,-2.1811440000,0.0000000000
12.0700000000,-2.1992940000,0.0000000000
12.0800000000,-2.2174750000,0.0000000000
12.0900000000,-2.2356880000,0.0000000000
12.1000000000,-2.2539300000,0.0000000000
12.1100000000,-2.2722020000,0.0000000000
12.1200000000,-2.2905030000,0.0000000000
12.1300000000,-2.3088320000,0.0000000000
12.1400000000,-2.3271880000,0.0000000000
12.1500000000,-2.3455700000,0.0000000000
12.1600000000,-2.3639790000,0.0000000000
12.1700000000,-2.3824120000,0.0000000000
12.1800000000,-2.4008700000,0.0000000000
12.1900000000,-2.4193520000,0.0000000000
12.2000000000,-2.4378560000,0.0000000000
12.2100000000,-2.4563830000,0.0000000000
12.2200000000,-2.4749310000,0.0000000000
12.2300000000,-2.4935000000,0.0000000000
12.2400000000,-2.5120890000,0.0000000000
12.2500000000,-2.5306970000,0.0000000000
12.2600000000,-2.5493230000,0.0000000000
12.2700000000,-2.5679680000,0.0000000000
12.2800000000,-2.5866290000,0.0000000000
12.2900000000,-2.6053070000,0.0000000000
12.3000000000,-2.6240000000,0.0000000000
12.3100000000,-2.6427090000,0.0000000000
12.3200000000,-2.6614310000,0.0000000000
12.3300000000,-2.6801670000,0.0000000000
12.3400000000,-2.6989150000,0.0000000000
12.3500000000,-2.7176750000,0.0000000000
12.3600000000,-2.7364460000,0.0000000000
12.3700000000,-2.7552280000,0.0000000000
12.3800000000,-2.7740200000,0.0000000000
12.3900000000,-2.7928200000,0.0000000000
12.4000000000,-2.8116280000,0.0000000000
12.4100000000,-2.8304440000,0.0000000000
12.4200000000,-2.8492670000,0.0000000000
12.4300000000,-2.8680960000,0.0000000000
12.4400000000,-2.8869290000,0.0000000000
12.4500000000,-2.9057680000,0.0000000000
12.4600000000,-2.9246100000,0.0000000000
12.4700000000,-2.9434550000,0.0000000000
12.4800000000,-2.9623020000,0.0000000000
